Symbol,Description,"Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY"
MGM,MGM Resorts International,17059591000,USD,15.082511619328700,7107068000,USD,1757118000,USD,879322000,USD,2552780000,USD,2.6474,USD,157.55423679346200
PR,Permian Resources Corporation,4370309000,USD,71.31748333986670,1890905000,USD,1731158000,USD,685053000,USD,3171396000,USD,1.2461,USD,-15.467064649616700
FTI,TechnipFMC plc,8479600000.041440,USD,19.20600556672180,1522300000.00768,USD,745900000.003993,USD,486600000.002718,USD,1125300000,USD,1.0938,USD,
OVV,Ovintiv Inc. (DE),10473000000.0234,USD,-11.597872879031800,3422000000.00724,USD,2735000000.0055400,USD,1940000000.0034200,USD,4942000000,USD,7.0871,USD,-46.45911398525320
TECH,Bio-Techne Corp,1159059000,USD,1.9668303565930200,773073000,USD,248266000,USD,168079000,USD,359977000,USD,1.0446,USD,-40.7016348773842
LKQ,LKQ Corporation,14483000000,USD,12.253914121841600,5358000000,USD,1337000000,USD,735000000,USD,1721000000,USD,2.748,USD,-26.331027826926200
TAP,Molson Coors Beverage Company,11937900000,USD,6.801996850844550,4597900000,USD,1994200000,USD,1168800000,USD,2673800000,USD,5.452,USD,3033.333333333330
CHWY,"Chewy, Inc.",11240770000,USD,7.512782767225810,3119155000,USD,39120000,USD,84296000,USD,158065000,USD,0.193,USD,56.275303643724700
EDU,"New Oriental Education & Technology Group, Inc. Sponsored",4313586000,USD,43.893640584970100,2262626000,USD,350425000,USD,309591000,USD,,,1.856,USD,76.57691941775290
NVT,nVent Electric plc,3474900000,USD,14.668030623020100,1430800000,USD,666300000,USD,576500000,USD,823900000,USD,3.4212,USD,25.424350185137700
ESTC,Elastic N.V.,1267321000,USD,18.55323113708370,935099000,USD,-122535000,USD,61720000,USD,-104536000,USD,0.5342,USD,
BJ,"BJ's Wholesale Club Holdings, Inc.",20405921000,USD,5.176507128588800,3705721000,USD,798709000,USD,532346000,USD,1045949000.0000000,USD,3.9589,USD,6.096907327008630
CCK,"Crown Holdings, Inc.",11764000000,USD,-4.683195592286500,2012000000,USD,1434000000,USD,432000000,USD,1915000000,USD,3.6073,USD,-9.065012982429600
XP,XP Inc.,3346518552.79555,USD,23.997553194266300,2340069002.98781,USD,1068818055.92627,USD,855086043.553049,USD,1126414640,USD,1.544,USD,22.258294401773700
BEN,"Franklin Resources, Inc.",8247400000,USD,5.437158819242910,6012800000,USD,1213700000,USD,809600000,USD,1671000000,USD,1.6231,USD,1.418395401149710
SKX,"Skechers U.S.A., Inc.",8395128000.000000,USD,8.023216852754580,4283181000.0000000,USD,848805000,USD,579521000,USD,1044996000.0000000,USD,3.7334,USD,23.129184393654600
WTRG,"Essential Utilities, Inc.",1937149000,USD,-15.891359272579200,781570000,USD,687331000,USD,556681000,USD,1042021000,USD,2.041,USD,15.611192930780600
APA,APA Corporation,8969000000,USD,-2.117210520571870,3953000000,USD,3321000000,USD,2905000000,USD,5539000000,USD,9.1569,USD,96.36515697375190
CNM,"Core & Main, Inc.",6869000000,USD,3.651727780292740,1692000000,USD,733000000,USD,380000000,USD,890000000,USD,2.1304,USD,0.25411764705881600
SFM,"Sprouts Farmers Market, Inc.",7189154000,USD,9.039960795597000,2558903000,USD,446488000,USD,324751000,USD,712408000,USD,3.1856,USD,32.336324360252600
UNM,Unum Group,12684800000,USD,4.621221493669840,,,1971800000,USD,1317300000,USD,,,6.8072,USD,-5.5500055500055500
OHI,"Omega Healthcare Investors, Inc.",994547000,USD,15.932945082204200,674633000,USD,554989000,USD,327605000,USD,860252000,USD,1.3001,USD,28.659079663532900
